fid,name,price,rating,reviews,stars
430,Lennox Buenos Aires,5842,8,615,4
431,Mine Hotel,15240,9.3,306,4
432,Regente Palace Hotel,4572,7.8,760,4
433,Mio Buenos Aires,15875,8.9,330,5
434,HR Luxor Hotel Buenos Aires,5270.5,7.9,701,4
435,Edificio Bellini Esmeralda,6032.5,9.1,191,
436,562 Nogaro,6096,7.8,702,4
437,Own Grand Palermo Soho,11874.5,8.3,758,4
438,Park Tower. A Luxury Collection Hotel. Buenos Aires,22987,9.3,48,5
439,B&B Polo,6350,9.1,35,
440,Uman,2540,8,15,
441,Cyan Américas Towers Hotel,6858,8.1,747,4
442,Awwa Suites & Spa,8953.5,8.1,670,4
443,La Casona del Alma,1968.5,8.4,335,
444,Top Rentals Libertador,8318.5,8.9,23,
445,Sinclair 3044,3048,9.8,39,
446,Premium Studio Palermo Soho,5651.5,8.9,6,
447,Hostel Estoril 3°,2032,8.4,993,
448,Destino Real Hotel,2794,7.3,99,3
449,Habitación privada en Casa Cabrera,2286,8.9,28,
450,Vacances San Telmo,5207,8.9,299,
451,Libertador Pettit 2,4254.5,9.4,29,
452,Urbanica The Suites Hotel,10033,8.1,173,4
453,Guest House La Boca B&B,2540,9,41,
454,Calle Larrea 1375 Departamento,5143.5,9.8,5,
455,Apartamento Calle Corrientes,2540,8.5,15,
456,Hostel Soleil,1270,7.1,186,
457,Piran Loft,2540,9,25,
458,Beautiful and bright apartment in Palermo,3873.5,9.3,17,
459,Via Arriba B&B,3111.5,9.6,133,
460,Hotel ATEPSA,1968.5,8.5,429,2
461,Sheraton Buenos Aires Hotel & Convention Center,17589.5,7.8,578,5
462,City Madero Buenos Aires,6286.5,9.2,10,
463,Gran Hotel Libertad,1905,7.9,797,2
464,Ker Recoleta Hotel & Spa,4635.5,7.8,2849,4
465,Hostel Downtownmate,952.5,6.4,368,
466,Flaat Recoleta Plaza,4381.5,7.8,248,
467,Design cE - Hotel de Diseño,7683.5,8.5,263,4
468,Mirabasto Rooms,1397,8.7,20,
469,Pampa Plaza Hotel,10350.5,7.1,204,4
470,Laprida Suites,5016.5,7.8,643,
471,HISTORICO Bs As - Departamento a NUEVO!!!,4953,9.4,6,
472,NH Buenos Aires Tango,9080.5,8.5,709,4
473,Departamento en Palermo Soho,3873.5,8.6,15,
474,STUDIO 2 Belgrano,5715,9.3,6,
475,Comodo Depto Av Cordoba,3873.5,8.2,31,
476,Abode Buenos Aires,8890,9.6,21,
477,4 Aparts en el mismo edificio. excelente ubicación,5270.5,9.4,11,
478,Luco B&B,2921,7,116,
479,Mate de luna,1905,7.9,16,
480,Amusing Apartment Recoleta,2984.5,8.7,71,
481,Hotel del Prado,2667,6.6,72,
482,Apart Independencia Luz y Fuerza Patagonia,2730.5,8.6,136,
483,Hotel Sheltown,4127.5,6.9,369,4
484,Fran Apartment Palermo Soho,3111.5,7.8,30,
485,Hotel Boutique Raco De Buenos Aires,6540.5,8.3,75,4
486,Arenales Apart Hotel,4254.5,7,31,
487,La Cascada Townhouse Hotel,2984.5,7.2,131,2
488,Hotel San Martin,2286,7.8,80,
489,Dallas,1905,7.9,39,
490,COZY APARTMENT SANTA FE,2857.5,8,27,
491,Loft Palermo Soho I,7112,9.7,9,
492,Petit Lacroze,5080,9.2,10,
493,Hotel Plaza Garay,952.5,5.7,566,1
494,Feels Like Home/ Como En Casa,3683,9.3,10,
495,Florida Apartment,3873.5,9.3,24,
496,PRETTY. EXCELLENT UBICATION/OBELISK 5 STARS!!!,5270.5,9.1,9,
497,Palermo Viejo Bed & Breakfast,4254.5,8.9,292,
498,Casa San Telmo 3100,4381.5,7.8,5,
499,Sures Belgrano Suites,5207,7.7,181,3
500,Soho Point,6985,8.8,215,
501,Sagardi Loft Ostería San Telmo,7810.5,8.7,116,
502,Palermo Beautiful Studio Apartment,4762.5,9.6,38,
503,Apart Dorrego,2857.5,9.4,33,4
504,Tritone Hotel,4000.5,8,1110,3
505,ARC Abasto Studios,3810,9.2,299,
506,Buenos Aires Inn Apart y Hotel,2857.5,7.4,1052,3
507,Let Sun Hotel Boutique,6667.5,8.5,492,
508,Cañitas Home,2095.5,4.4,3,
509,San Carlos Hotel,1841.5,8.9,651,1
510,Palermo Hollywood Studio,4635.5,9.7,13,
511,CASA DEVOTO 3631 1º C,2921,9.7,5,
512,Tango Cozy Cuba,9842.5,9.5,12,
513,Apassionata Tango Hotel,2476.5,8.6,60,
514,Hotel Americano,2603.5,7.6,376,2
515,Sojo Apart Hotel,2540,6.4,426,3
516,IDEAL CENTER,1714.5,8.5,64,
517,Italia,2095.5,6.4,9,
518,Che Juan Hostel BA,2095.5,9.7,508,
519,Apartamentos Rent In Buenos Aires,4318,8.4,25,
520,Feliz Haus Guesthouse,444.5,8.1,424,
521,Loi Suites Esmeralda,8318.5,8.3,773,4
522,Granados Hostel,889,7.8,1024,
523,Studio en Palermo Soho,6858,9.4,81,
524,ChillHouse,6350,8.8,113,
525,Voyage Recoleta Hostel,1206.5,7.9,341,
526,Mayla Apartments,5969,8.7,382,
527,Play Hostel Arcos,1841.5,7.6,676,
528,Puerto Limon Hostel,1587.5,8.3,1188,
529,Departamento temporal Ciudad Autonoma de Buenos Aires,2540,9.5,79,
530,Babel Apartments Recoleta,4064,8,286,
531,FR Flats,6477,9.2,3,
532,TH Bue Hotel,6921.5,8.4,477,
533,Pyxis Hostel,1651,8.1,659,
534,Caravan BA | Hostel Boutique,2857.5,9.7,726,
535,Malala Hostel,1206.5,8.7,1369,
536,Palermo Blue Home,1651,9.8,10,
537,Excelente Moderno 2 amb pileta,2222.5,10,9,
538,studio salguero palermo II,3429,9.8,4,
539,Anexo Irún,1587.5,6.6,7,
540,Kenton Palace Buenos Aires,7302.5,8.6,515,4
541,BELGRANO RESIDENCIAL. Departamento cómodo. cálido. luminoso. excelente ubicación y medios de transporte,3810,10,4,
542,Sevilla Home Hotel,1460.5,7.4,10,1
543,Palermo Place I,3048,9.3,34,
